id,gender,ip_address,spend_category,spend_amount
1,Agender,92.215.201.98,Home,29.99
2,Male,168.39.225.73,Outdoor,49.99
3,Female,151.90.98.44,Pets,59.99
4,Female,43.151.92.27,Outdoor,34.99
5,Genderfluid,7.177.113.81,Home,19.99
6,Female,246.108.234.102,Food - Dairy,1.99
7,Genderfluid,21.48.140.225,Health,19.99
8,Female,121.90.131.118,Food - Condiments,3.99
9,Genderqueer,9.55.37.52,Clothing - Outerwear,79.99
10,Female,195.177.160.98,Clothing - Outerwear,39.99
11,Female,70.109.17.148,Food - Frozen Foods,3.99
12,Male,91.234.174.169,Food - Baking,3.29
13,Male,164.54.9.200,Outdoor,39.99
14,Male,187.75.185.200,Clothing - Tops,22.99
15,Male,246.172.175.104,Food - Household,12.99
16,Male,127.164.54.58,Outdoor,79.99
17,Non-binary,174.11.84.59,Outdoor,28.99
18,Male,133.158.23.78,Fitness,29.99
19,Female,201.156.79.43,Clothing - Dresses,79.99
20,Male,184.94.208.72,Food - Seafood,8.99
21,Female,49.101.2.217,Accessories,29.99
22,Male,1.15.232.83,Food - Meat,9.99
23,Female,118.46.215.189,Home,19.99
24,Female,10.191.13.212,Food - Grains,2.49
25,Female,156.226.194.195,Food - Frozen Food,8.99
26,Female,43.99.29.163,Books,27.99
27,Female,160.148.73.255,Food - Frozen Desserts,4.99
28,Male,10.118.239.182,Food - Snacks,2.99
29,Female,117.197.14.138,Food - Bakery,2.69
30,Female,157.119.163.214,Kitchen,19.99
31,Female,141.65.135.217,Food - Baking & Cooking,2.99
32,Female,165.23.129.255,Food - Soups,3.29
33,Male,77.86.231.232,Footwear,79.99
34,Male,73.209.187.102,Food - Salads,5.99
35,Non-binary,202.207.157.119,Clothing - Outerwear,99.99
36,Male,169.231.166.109,Kitchen,34.99
37,Female,137.248.227.77,Toys,39.99
38,Male,195.136.221.250,Office,59.99
39,Female,151.215.26.195,Food - Frozen Foods,5.99
40,Female,183.33.22.143,Clothing - Tops,34.99
41,Male,96.13.173.241,Food - Produce,2.79
42,Male,45.250.151.35,Home,39.99
43,Female,191.48.66.108,Food - Baking,3.29
44,Female,124.222.128.122,Fitness,34.99
45,Female,206.169.96.161,Garden,24.99
46,Male,143.182.89.62,Health,79.99
47,Female,124.81.192.94,Food - Sauces,3.29
48,Male,69.2.83.141,Outdoor,89.99
49,Male,200.108.25.69,Fitness,15.99
50,Male,101.223.144.29,Pets,15.99
51,Female,28.23.95.196,Food - Snacks,3.79
52,Female,84.161.98.229,Beauty,25
53,Male,30.120.35.148,Kitchen,49.99
54,Female,6.37.159.63,Food - Dairy,2.49
55,Female,180.138.109.41,Home,39.99
56,Genderqueer,126.235.167.56,Pets,79.99
57,Female,181.67.190.192,Art Supplies,29.99
58,Genderqueer,208.218.24.229,Food - Grains,3.29
59,Male,204.177.9.3,Kitchen,59.99
60,Female,0.130.227.250,Electronics,25.99
61,Male,226.23.174.152,Electronics,15.99
62,Male,202.217.140.137,Office,29.99
63,Male,101.185.230.164,Food - Dips,2.29
64,Female,217.201.89.40,Garden,24.99
65,Male,25.128.37.236,Garden,19.99
66,Agender,177.220.218.62,Food - Meat,5.99
67,Female,18.115.145.121,Accessories,12.99
68,Female,112.70.67.59,Food - Frozen Foods,8.99
69,Male,99.110.21.131,Food - Grains,4.49
70,Female,193.148.160.148,Outdoor,29.99
71,Female,186.253.181.7,Food - Snacks,3.49
72,Male,83.9.213.17,Pets,5.99
73,Female,76.65.149.220,Food - Breakfast,5.49
74,Female,6.46.159.153,Food - Produce,3.49
75,Female,210.94.165.140,Smart Home,99.99
76,Female,42.180.191.142,Beauty,12.99
77,Genderqueer,38.0.22.127,Clothing,14.99
78,Female,242.17.225.219,Food - Bakery,2.69
79,Female,234.10.42.95,Fitness,12.99
80,Female,85.19.154.100,Office,29.99
81,Agender,121.73.139.18,Food - Meat,12.99
82,Female,171.21.34.37,Kitchen,22.99
83,Male,110.181.15.231,Home,39.99
84,Female,79.45.186.58,Clothing - Tops,29.99
85,Female,19.123.158.223,Food - Frozen Foods,8.99
86,Male,203.0.221.223,Food - Condiments,3.99
87,Agender,175.45.166.49,Kitchen,24.99
88,Female,29.44.103.142,Home,29.99
89,Polygender,229.53.53.44,Garden,9.99
90,Female,208.72.206.100,Food - Prepared Meals,8.99
91,Female,252.9.171.222,Food - Oils,8.99
92,Male,199.128.176.90,Food - Snacks,4.99
93,Agender,62.140.191.29,Crafts,99.99
94,Male,158.145.110.59,Smart Home,29.99
95,Male,206.209.127.73,Food - Dried Fruits,3.79
96,Male,176.235.85.65,Food - Nuts,4.89
97,Female,127.252.61.126,Food - Meat,6.99
98,Male,40.86.10.153,Food - Soups,3.29
99,Male,64.6.59.132,Food - Produce,2.39
100,Female,169.197.29.26,Food - Prepared Foods,8.99
